Numero documento;Tp doc;Nº direc;Nombre deudor;Fecha factura;Fecha vto;AF ;Nº per;Est pago;Importe bruto;Importe pendiente;Cd mon;Condic pago;Fecha de Pago;Tipo cambio USD;Tipo cambio EUR;Impte pend Mext USD;Impte pend Mext EUR;
23000001;PV;9666;AVIANCA S.A;12/12/2022;10/02/2023;23;2;P;-851226594;;COP;002;;;;;;
23000006;PV;10188;ENERTOTAL S.A. E.S.P.;02/01/2023;11/01/2023;23;1;P;944699;;COP;002;;;;;;
23000007;PV;10188;ENERTOTAL S.A. E.S.P.;02/01/2023;11/01/2023;23;1;P;172141824;;COP;002;;;;;;
23000050;PV;8185;UNITED AIR LINES INC SUCURSAL COLOMBIA;02/01/2023;03/03/2023;23;1;H;57445120;56069334;COP; ;;;;;;
23000027;PV;14599;AIR EUROPA;03/01/2023;03/03/2023;23;1;H;44415429;44415429;COP; ;;;;;;
23000002;PV;29156;LIBERTY NETWORKS DE COLOMBIA S.A.S;04/01/2023;27/01/2023;23;1;P;48790000;;COP;002;;;;;;
23000031;PV;8413;AVIANCA ECUADOR S.A SUCURSAL COLOMBIA;04/01/2023;03/03/2023;23;1;P;146457370;;COP; ;;;;;;
23000048;PV;14953;TURKISH AIRLINES INC COLOMBIA;04/01/2023;03/03/2023;23;1;H;44416643;44416643;COP; ;;;;;;
23000040;PV;8087;DEUTSCHE LUFTHANSA AKTIENGELLSCH;05/01/2023;03/03/2023;23;1;H;12226529;12226529;COP; ;;;;;;
23000053;PV;8240;JETBLUE AIRWAYS CORPORATION;05/01/2023;03/03/2023;23;1;H;18493388;18493388;COP; ;;;;;;
23000054;PV;28149;JETSMART AIRLINES SPA SUCURSAL COLOMBIA;05/01/2023;03/03/2023;23;1;H;16803519;16803519;COP; ;;;;;;
23000022;PV;33845;AEROENLACES NACIONALES S.A. DE C.V. SUCU;06/01/2023;10/03/2023;23;1;P;40977412;;COP; ;;;;;;
23000029;PV;8262;AMERICAN AIRLINES INC SUCURSAL C;06/01/2023;10/03/2023;23;1;H;71441928;71441928;COP; ;;;;;;
23000037;PV;8086;DELTA AIR LINES INC.;06/01/2023;03/03/2023;23;1;P;50828207;;COP; ;;;;;;
23000049;PV;34921;ULTRA AIR S.A.S;06/01/2023;10/03/2023;23;1;P;40750322;;COP; ;;;;;;
23000004;PV;9884;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;10/01/2023;11/01/2023;23;1;P;4016933;;COP;002;;;;;;
23000005;PV;8011;COMUNICACION CELULAR SA COMCEL SA;10/01/2023;13/01/2023;23;1;P;1666000;;COP; ;;;;;;
23000034;PV;33922;CONCESIONARIA VUELA COMPAÑIA DE AVIACION;10/01/2023;10/03/2023;23;1;H;41487003;41487003;COP; ;;;;;;
23000038;PV;31960;SKY AIRLINE S.A. SUCURSAL COLOMBIA;10/01/2023;10/03/2023;23;1;H;10125765;10125765;COP; ;;;;;;
23000043;PV;8463;FAST COLOMBIA S.A.S;10/01/2023;10/03/2023;23;1;P;122977718;;COP; ;;;;;;
23000055;PV;8030;AEROLINEAS ARGENTINAS  S.A.;10/01/2023;10/03/2023;23;1;P;13060567;;COP; ;;;;;;
23000028;PV;8006;AIR FRANCE;11/01/2023;10/03/2023;23;1;H;39282314;39282314;COP; ;;;;;;
23000032;PV;9666;AVIANCA S.A;11/01/2023;10/03/2023;23;1;P;901057925;;COP;002;;;;;;
23000036;PV;36297;PLUS ULTRA LÍNEAS AÉREAS S.A. SUCURSAL C;11/01/2023;10/03/2023;23;1;H;72310547;72310547;COP; ;;;;;;
23000051;PV;24300;VIVA AIRLINES PERU S.A.C SUCURSAL COL;11/01/2023;10/03/2023;23;1;P;6269382;;COP;002;;;;;;
23000008;PV;17347;MUNICIPIO DE FUNZA;12/01/2023;13/01/2023;23;1;P;22712000;;COP; ;;;;;;
23000023;PV;8268;AEROREPUBLICA S.A WINGO;12/01/2023;10/03/2023;23;1;P;-323280325;;COP; ;;;;;;
23000024;PV;8268;AEROREPUBLICA S.A WINGO;12/01/2023;10/03/2023;23;1;P;183626403;;COP; ;;;;;;
23000026;PV;8319;AEROVIAS DE MEXICO S.A. DE C.V AEROMEXIC;12/01/2023;10/03/2023;23;1;H;57193571;57193571;COP; ;;;;;;
23000030;PV;8424;AVIANCA COSTA RICA S A SUCURSAL COLOMBIA;12/01/2023;10/03/2023;23;1;P;354689;;COP; ;;;;;;
23000033;PV;8187;COMPAÑIA PANAMEÑA DE AVIACION S.A.COPA;12/01/2023;10/03/2023;23;1;H;139653922;139653922;COP; ;;;;;;
23000042;PV;9575;EMPRESA AEREA DE SERVICIOS /ESTE NO;12/01/2023;10/03/2023;23;1;P;21915173;;COP;002;;;;;;
23000046;PV;8422;TACA INTERNATIONAL AIRLINES S A SUCURSAL;12/01/2023;10/03/2023;23;1;P;16148919;;COP; ;;;;;;
23000009;PV;9894;CAMARA DE COMERCIO DE BOGOTA;13/01/2023;13/01/2023;23;1;P;208000;;COP;002;;;;;;
23000010;PV;10033;EAB ESP ASEO;13/01/2023;16/01/2023;23;1;P;27051430;;COP; ;;;;;;
23000011;PV;10033;EAB ESP ASEO;13/01/2023;16/01/2023;23;1;P;131033530;;COP; ;;;;;;
23000025;PV;8272;AEROVIAS DE INTEGRACION REGIONAL AIRES;16/01/2023;17/03/2023;23;1;H;494277353;494277353;COP; ;;;;;;
23000041;PV;8341;LAN PERU S.A. SUCURSAL COLOMBIA;16/01/2023;17/03/2023;23;1;P;-152307267;;COP; ;;;;;;
