Cd mon;Mon dest;Fecha efectiva;Tipo cambio
EUR;COP;31/12/2023;4222,03
EUR;COP;30/12/2023;4222,03
EUR;COP;29/12/2023;4222,03
EUR;COP;28/12/2023;4269,85
EUR;COP;27/12/2023;4299,24
EUR;COP;26/12/2023;4317,35
EUR;COP;25/12/2023;4311,87
EUR;COP;24/12/2023;4311,87
EUR;COP;23/12/2023;4311,87
EUR;COP;22/12/2023;4342,26
EUR;COP;21/12/2023;4339,44546
EUR;COP;20/12/2023;4307,94
EUR;COP;19/12/2023;4320,54
EUR;COP;18/12/2023;4318,8
EUR;COP;17/12/2023;4319
EUR;COP;16/12/2023;4319
EUR;COP;15/12/2023;4318,04
EUR;COP;14/12/2023;4397,17
EUR;COP;13/12/2023;4307,95
EUR;COP;12/12/2023;4293,73
EUR;COP;11/12/2023;4296,2
EUR;COP;10/12/2023;4305,79
EUR;COP;09/12/2023;4305,79
EUR;COP;08/12/2023;4305,79
EUR;COP;07/12/2023;4302,53
EUR;COP;06/12/2023;4341,45
EUR;COP;05/12/2023;4322,1
EUR;COP;04/12/2023;4307,98
EUR;COP;03/12/2023;4315,94
EUR;COP;02/12/2023;4315,94
EUR;COP;01/12/2023;4383,2
EUR;COP;30/11/2023;4343,31
EUR;COP;29/11/2023;4343,65
EUR;COP;28/11/2023;4381,3
EUR;COP;27/11/2023;4421,86
EUR;COP;26/11/2023;4424,69
EUR;COP;25/11/2023;4424,69394
EUR;COP;24/11/2023;4477,01
EUR;COP;23/11/2023;4464,73
EUR;COP;22/11/2023;4411,96
EUR;COP;21/11/2023;4410,79
EUR;COP;20/11/2023;4503,34
EUR;COP;19/11/2023;4481,94
EUR;COP;18/11/2023;4481,94
EUR;COP;17/11/2023;4439,31
EUR;COP;16/11/2023;4325,81
EUR;COP;15/11/2023;4306,62
EUR;COP;14/11/2023;4375,3
EUR;COP;13/11/2023;4315,96
EUR;COP;12/11/2023;4307,88
EUR;COP;11/11/2023;4307,88
EUR;COP;10/11/2023;4328,96
EUR;COP;09/11/2023;4356,7
EUR;COP;08/11/2023;4288,02
EUR;COP;07/11/2023;4247,38
EUR;COP;06/11/2023;4271,03
EUR;COP;05/11/2023;4266,67
EUR;COP;04/11/2023;4266,67
EUR;COP;03/11/2023;4343,97
EUR;COP;02/11/2023;4372,4
EUR;COP;01/11/2023;4335,43
EUR;COP;31/10/2023;4292,3
EUR;COP;30/10/2023;4375,8924
EUR;COP;29/10/2023;4359,2
EUR;COP;28/10/2023;4359,2
EUR;COP;27/10/2023;4395,51
EUR;COP;26/10/2023;4429,67
EUR;COP;25/10/2023;4461,12
EUR;COP;24/10/2023;4474,25
EUR;COP;23/10/2023;4505,69
EUR;COP;22/10/2023;4488,31
EUR;COP;21/10/2023;4488,31
EUR;COP;20/10/2023;4499,81
EUR;COP;19/10/2023;4467,72
EUR;COP;18/10/2023;4449,45
EUR;COP;17/10/2023;4493,95
EUR;COP;16/10/2023;4482,48
EUR;COP;15/10/2023;4462,94
EUR;COP;14/10/2023;4462,94
EUR;COP;13/10/2023;4443,62
EUR;COP;12/10/2023;4446,5
EUR;COP;11/10/2023;4495,83
EUR;COP;10/10/2023;4648,76
EUR;COP;09/10/2023;4625,95
EUR;COP;08/10/2023;4622,88
EUR;COP;07/10/2023;4622,88
EUR;COP;06/10/2023;4594,15
EUR;COP;05/10/2023;4477,66
EUR;COP;04/10/2023;4393,22
EUR;COP;03/10/2023;4338,35
EUR;COP;02/10/2023;4255,23
EUR;COP;01/10/2023;4291,92
EUR;COP;30/09/2023;4291,92
EUR;COP;29/09/2023;4325,6
EUR;COP;28/09/2023;4324,07
EUR;COP;27/09/2023;4276,85
EUR;COP;26/09/2023;4289,21
EUR;COP;25/09/2023;4176,73742
EUR;COP;24/09/2023;4208,52446
EUR;COP;23/09/2023;4208,52446
EUR;COP;22/09/2023;4208,04485
EUR;COP;21/09/2023;4165,08586
EUR;COP;20/09/2023;4183,32775
EUR;COP;19/09/2023;4175,46055
EUR;COP;18/09/2023;4193,63531
EUR;COP;17/09/2023;4190,09986
EUR;COP;16/09/2023;4190,09986
EUR;COP;15/09/2023;4188,29722
EUR;COP;14/09/2023;4213,85372
EUR;COP;13/09/2023;4288,45219
EUR;COP;12/09/2023;4282,97874
EUR;COP;11/09/2023;4311,57459
EUR;COP;10/09/2023;4299,13659
EUR;COP;09/09/2023;4299,13659
EUR;COP;08/09/2023;4335,10684
EUR;COP;07/09/2023;4381,59932
EUR;COP;06/09/2023;4378,99376
EUR;COP;05/09/2023;4351,24905
EUR;COP;04/09/2023;4382,53692
EUR;COP;03/09/2023;4391,47632
EUR;COP;02/09/2023;4391,47632
EUR;COP;01/09/2023;4430,2104
EUR;COP;31/08/2023;4434,01291
EUR;COP;30/08/2023;4491,70092
EUR;COP;29/08/2023;4452,365
EUR;COP;28/08/2023;4449,46717
EUR;COP;27/08/2023;4435,05494
EUR;COP;26/08/2023;4435,05494
EUR;COP;25/08/2023;4391,02514
EUR;COP;24/08/2023;4428,90046
EUR;COP;23/08/2023;4468,83392
EUR;COP;22/08/2023;4474,7896
EUR;COP;21/08/2023;4490,04855
EUR;COP;20/08/2023;4484,27489
EUR;COP;19/08/2023;4484,27489
EUR;COP;18/08/2023;4451,5674
EUR;COP;17/08/2023;4497,72285
EUR;COP;16/08/2023;4467,59445
EUR;COP;15/08/2023;4408,5638
EUR;COP;14/08/2023;4332,80493
EUR;COP;13/08/2023;4359,62545
EUR;COP;12/08/2023;4359,62545
EUR;COP;11/08/2023;4339,67835
EUR;COP;10/08/2023;4442,27355
EUR;COP;09/08/2023;4477,37984
EUR;COP;08/08/2023;4463,87323
EUR;COP;07/08/2023;4487,11726
EUR;COP;06/08/2023;4495,06917
EUR;COP;05/08/2023;4495,06917
EUR;COP;04/08/2023;4568,80201
EUR;COP;03/08/2023;4435,30431
EUR;COP;02/08/2023;4378,92968
EUR;COP;01/08/2023;4280,33611
EUR;COP;31/07/2023;4325,84389
EUR;COP;30/07/2023;4329,76738
EUR;COP;29/07/2023;4329,76738
EUR;COP;28/07/2023;4339,20274
EUR;COP;27/07/2023;4342,85156
EUR;COP;26/07/2023;4402,17751
EUR;COP;25/07/2023;4363,21808
EUR;COP;24/07/2023;4400,28904
EUR;COP;23/07/2023;4413,59316
EUR;COP;22/07/2023;4413,59316
EUR;COP;21/07/2023;4423,39527
EUR;COP;20/07/2023;4436,92795
EUR;COP;19/07/2023;4466,49596
EUR;COP;18/07/2023;4572,57007
EUR;COP;17/07/2023;4593,30622
EUR;COP;16/07/2023;4597,39552
EUR;COP;15/07/2023;4597,39552
EUR;COP;14/07/2023;4611,81965
EUR;COP;13/07/2023;4621,83963
EUR;COP;12/07/2023;4663,69143
EUR;COP;11/07/2023;4565,51964
EUR;COP;10/07/2023;4599,10959
EUR;COP;09/07/2023;4587,7967
EUR;COP;08/07/2023;4587,7967
EUR;COP;07/07/2023;4594,96294
EUR;COP;06/07/2023;4486,19094
EUR;COP;05/07/2023;4542,70049
EUR;COP;04/07/2023;4554,39771
EUR;COP;03/07/2023;4556,27762
EUR;COP;02/07/2023;4557,73978
EUR;COP;01/07/2023;4557,73978
EUR;COP;30/06/2023;4572,68648
EUR;COP;29/06/2023;4540,06896
EUR;COP;28/06/2023;4527,03369
EUR;COP;27/06/2023;4568,70135
EUR;COP;26/06/2023;4547,83119
EUR;COP;25/06/2023;4536,78366
EUR;COP;24/06/2023;4536,78366
EUR;COP;23/06/2023;4478,10207
EUR;COP;22/06/2023;4557,19024
EUR;COP;21/06/2023;4545,42669
EUR;COP;20/06/2023;4519,66394
EUR;COP;19/06/2023;4528,99181
EUR;COP;18/06/2023;4529,40638
EUR;COP;17/06/2023;4529,40638
EUR;COP;16/06/2023;4550,09928
EUR;COP;15/06/2023;4563,54937
